country,continent,total_confirmed,total_deaths,total_recovered,active_cases,serious_or_critical,total_cases_per_1m_population,total_deaths_per_1m_population,total_tests,total_tests_per_1m_population,population
Afghanistan,Asia,55557,2430.0,48626.0,4501.0,1027.0,1407,62.0,280020.0,7094.0,39475284
Albania,Europe,94651,1582.0,58794.0,34275.0,37.0,32913,550.0,416419.0,144801.0,2875811
Algeria,Africa,111069,2945.0,76330.0,31794.0,42.0,2505,66.0,,,44346343
Andorra,Europe,10555,107.0,10022.0,426.0,15.0,136470,1383.0,193595.0,2503071.0,77343
Angola,Africa,20389,494.0,18929.0,966.0,7.0,609,15.0,178539.0,5329.0,33500755
Anguilla,North America,18,,18.0,0.0,,1193,,8990.0,595877.0,15087
Antigua And Barbuda,North America,486,10.0,206.0,270.0,1.0,4937,102.0,12231.0,124250.0,98439
Argentina,South America,2033060,50432.0,1838291.0,144337.0,3581.0,44725,1109.0,6901792.0,151833.0,45456498
Armenia,Asia,169597,3155.0,161476.0,4966.0,,57166,1063.0,691146.0,232965.0,2966738
Aruba,North America,7461,69.0,7131.0,261.0,11.0,69695,645.0,96422.0,900702.0,107052
Australia,Australia/Oceania,28911,909.0,26133.0,1869.0,,1126,35.0,13840567.0,538845.0,25685636
Austria,Europe,436139,8260.0,413908.0,13971.0,258.0,48252,914.0,4865656.0,538310.0,9038764
Azerbaijan,Asia,232337,3185.0,226951.0,2201.0,,22786,312.0,2513636.0,246516.0,10196635
Bahamas,North America,8383,179.0,7071.0,1133.0,3.0,21190,452.0,64769.0,163721.0,395606
Bahrain,Asia,114361,410.0,106412.0,7539.0,60.0,65793,236.0,2926925.0,1683885.0,1738198
Bangladesh,Asia,541434,8298.0,488621.0,44515.0,,3267,50.0,3877042.0,23395.0,165720425
Barbados,North America,2331,25.0,1660.0,646.0,1.0,8105,87.0,114562.0,398342.0,287597
Belarus,Europe,270921,1867.0,260057.0,8997.0,,28677,198.0,4698244.0,497308.0,9447359
Belgium,Europe,741205,21750.0,50930.0,668525.0,319.0,63779,1872.0,8956402.0,770681.0,11621413
Belize,North America,12188,313.0,11682.0,193.0,2.0,30308,778.0,78394.0,194941.0,402143
Benin,Africa,5039,62.0,3960.0,1017.0,,409,5.0,459277.0,37276.0,12320860
Bermuda,North America,695,12.0,679.0,4.0,3.0,11186,193.0,170275.0,2740536.0,62132
Bhutan,Asia,866,1.0,856.0,9.0,,1115,1.0,499744.0,643218.0,776944
Bolivia,South America,237706,11274.0,180155.0,46277.0,71.0,20191,958.0,647883.0,55032.0,11772874
Bosnia And Herzegovina,Europe,126413,4935.0,106831.0,14647.0,,38683,1510.0,634381.0,194126.0,3267891
Botswana,Africa,25802,226.0,21893.0,3683.0,1.0,10835,95.0,721535.0,303002.0,2381290
Brazil,South America,9921981,240983.0,8883191.0,797807.0,8318.0,46471,1129.0,28600000.0,133951.0,213510360
British Virgin Islands,North America,114,1.0,95.0,18.0,,3755,33.0,13223.0,435569.0,30358
Brunei Darussalam,Asia,184,3.0,177.0,4.0,,418,7.0,95750.0,217558.0,440112
Bulgaria,Europe,232096,9703.0,198324.0,24069.0,284.0,33563,1403.0,1544924.0,223407.0,6915288
Burkina Faso,Africa,11630,138.0,10979.0,513.0,,547,6.0,,,21259799
Burundi,Africa,1855,3.0,773.0,1079.0,,153,,90019.0,7433.0,12110745
Cabo Verde,Africa,14785,140.0,14282.0,363.0,23.0,26412,250.0,113493.0,202746.0,559780
Cambodia,Asia,479,,470.0,9.0,,28,,439167.0,26042.0,16864049
Cameroon,Africa,32098,479.0,29609.0,2010.0,25.0,1191,18.0,149000.0,5527.0,26957510
Canada,North America,831577,21397.0,776208.0,33972.0,594.0,21912,564.0,23176610.0,610711.0,37950235
Caribbean Netherlands,North America,360,3.0,244.0,113.0,,13649,114.0,5145.0,195064.0,26376
Cayman Islands,North America,419,2.0,388.0,29.0,1.0,6329,30.0,70663.0,1067304.0,66207
Central African Republic,Africa,4996,63.0,4885.0,48.0,2.0,1023,13.0,35523.0,7276.0,4882314
Chad,Africa,3689,131.0,3209.0,349.0,,221,8.0,,,16718812
Channel Islands,Europe,4009,85.0,3755.0,169.0,4.0,22926,486.0,349474.0,1998479.0,174870
Chile,South America,782039,19644.0,740465.0,21930.0,1573.0,40690,1022.0,8809502.0,458365.0,19219393
China Hong Kong Sar,Asia,10797,195.0,10232.0,370.0,22.0,1433,26.0,7089664.0,940868.0,7535240
China Macao Sar,Asia,48,,46.0,2.0,,73,,4369.0,6671.0,654886
China,Asia,89795,4636.0,84602.0,557.0,10.0,62,3.0,160000000.0,111163.0,1439323776
Colombia,South America,2202598,57949.0,2095105.0,49544.0,3482.0,43000,1131.0,10937998.0,213534.0,51223565
Comoros,Africa,3393,133.0,2935.0,325.0,,3851,151.0,,,881166
Congo,Africa,8419,123.0,7019.0,1277.0,,1503,22.0,92500.0,16510.0,5602713
Costa Rica,North America,200454,2737.0,165439.0,32278.0,170.0,39125,534.0,638716.0,124667.0,5123362
Cote D Ivoire,Africa,31365,179.0,29603.0,1583.0,,1171,7.0,389190.0,14530.0,26785227
Croatia,Europe,237999,5357.0,230683.0,1959.0,84.0,58201,1310.0,1275009.0,311797.0,4089229
Cuba,North America,39941,274.0,34716.0,4951.0,64.0,3528,24.0,2177217.0,192295.0,11322248
Curacao,North America,4655,22.0,4571.0,62.0,1.0,28295,134.0,47463.0,288501.0,164516
Cyprus,Asia,32707,225.0,2057.0,30425.0,23.0,26966,186.0,1571975.0,1296057.0,1212890
Czech Republic,Europe,1112322,18596.0,987515.0,106211.0,1196.0,103747,1734.0,7154150.0,667270.0,10721519
Democratic Republic Of The Congo,Africa,24423,695.0,15544.0,8184.0,,268,8.0,,,91251944
Denmark,Europe,205183,2308.0,197258.0,5617.0,63.0,35346,398.0,15391774.0,2651440.0,5805063
Djibouti,Africa,5981,63.0,5865.0,53.0,,5999,63.0,112416.0,112754.0,997005
Dominica,North America,134,,121.0,13.0,,1859,,10917.0,151417.0,72099
Dominican Republic,North America,231095,2975.0,179097.0,49023.0,245.0,21170,273.0,1149682.0,105318.0,10916266
Ecuador,South America,268073,15392.0,230377.0,22304.0,496.0,15051,864.0,948354.0,53246.0,17810912
Egypt,Africa,175059,10101.0,135670.0,29288.0,90.0,1691,98.0,1000000.0,9658.0,103541140
El Salvador,North America,58023,1767.0,52688.0,3568.0,49.0,8917,272.0,734966.0,112953.0,6506825
Equatorial Guinea,Africa,5694,87.0,5426.0,181.0,1.0,3977,61.0,93607.0,65388.0,1431560
Eritrea,Africa,2566,7.0,1914.0,645.0,,717,2.0,23693.0,6623.0,3577198
Estonia,Europe,53444,508.0,42403.0,10533.0,35.0,40271,383.0,851062.0,641296.0,1327098
Ethiopia,Africa,148490,2223.0,129145.0,17122.0,307.0,1272,19.0,2057017.0,17621.0,116737709
Faeroe Islands,Europe,658,1.0,654.0,3.0,,13434,20.0,227771.0,4650286.0,48980
Falkland Islands Malvinas,South America,54,,43.0,11.0,,15241,,6977.0,1969235.0,3543
Fiji,Australia/Oceania,56,2.0,54.0,0.0,,62,2.0,27932.0,31017.0,900533
Finland,Europe,51047,720.0,40000.0,10327.0,27.0,9204,130.0,3092311.0,557560.0,5546153
France,Europe,3489129,82812.0,244238.0,3162079.0,3348.0,53379,1267.0,49201307.0,752721.0,65364643
French Guiana,South America,16456,80.0,9995.0,6381.0,11.0,54220,264.0,143389.0,472448.0,303502
French Polynesia,Australia/Oceania,18299,136.0,4842.0,13321.0,4.0,64906,482.0,26355.0,93480.0,281931
Gabon,Africa,12865,75.0,11750.0,1040.0,22.0,5696,33.0,485070.0,214777.0,2258477
Gambia,Africa,4469,138.0,3912.0,419.0,1.0,1817,56.0,38722.0,15748.0,2458881
Georgia,Asia,266948,3390.0,259727.0,3831.0,,67000,851.0,2495900.0,626430.0,3984326
Germany,Europe,2352766,66536.0,2154600.0,131630.0,3736.0,28025,793.0,41758675.0,497406.0,83952892
Ghana,Africa,77748,561.0,69321.0,7866.0,115.0,2470,18.0,846174.0,26881.0,31477978
Gibraltar,Europe,4224,87.0,4074.0,63.0,6.0,125397,2583.0,174052.0,5167048.0,33685
Greece,Europe,173905,6181.0,154754.0,12970.0,301.0,16736,595.0,4767683.0,458836.0,10390820
Greenland,North America,30,,30.0,0.0,,528,,17382.0,305849.0,56832
Grenada,North America,148,1.0,146.0,1.0,,1311,9.0,20288.0,179775.0,112852
Guadeloupe,North America,9528,158.0,2242.0,7128.0,5.0,23810,395.0,128479.0,321063.0,400167
Guatemala,North America,168103,6158.0,155211.0,6734.0,5.0,9276,340.0,859531.0,47428.0,18122812
Guinea Bissau,Africa,2950,46.0,2468.0,436.0,3.0,1477,23.0,48529.0,24301.0,1996999
Guinea,Africa,15020,85.0,14512.0,423.0,24.0,1125,6.0,128537.0,9625.0,13354408
Guyana,South America,8262,188.0,7486.0,588.0,8.0,10472,238.0,55298.0,70091.0,788944
Haiti,North America,12206,247.0,9363.0,2596.0,,1062,21.0,49333.0,4294.0,11489769
Holy See,Europe,27,,15.0,12.0,,33666,,,,802
Honduras,North America,161727,3913.0,63471.0,94343.0,416.0,16167,391.0,416406.0,41627.0,10003266
Hungary,Europe,391170,13931.0,299989.0,77250.0,321.0,40557,1444.0,3388457.0,351323.0,9644838
Iceland,Europe,6039,29.0,5986.0,24.0,8.0,17625,85.0,491842.0,1435461.0,342637
India,Asia,10937320,155949.0,10644858.0,136513.0,8944.0,7877,112.0,207977229.0,149782.0,1388530816
Indonesia,Asia,1233959,33596.0,1039674.0,160689.0,,4482,122.0,10115963.0,36740.0,275340530
Iran,Asia,1534034,59117.0,1310821.0,164096.0,3696.0,18118,698.0,10161499.0,120017.0,84667452
Iraq,Asia,649982,13192.0,609800.0,26990.0,281.0,15937,323.0,6321995.0,155006.0,40785606
Ireland,Europe,211113,3980.0,23364.0,183769.0,151.0,42457,800.0,3345319.0,672774.0,4972423
Isle Of Man,Europe,437,25.0,408.0,4.0,,5122,293.0,30292.0,355056.0,85316
Israel,Asia,734575,5441.0,673908.0,55226.0,962.0,79866,592.0,11476197.0,1247740.0,9197590
Italy,Europe,2739591,94171.0,2251734.0,393686.0,2074.0,45353,1559.0,36621878.0,606266.0,60405628
Jamaica,North America,19773,378.0,12684.0,6711.0,19.0,6659,127.0,188248.0,63398.0,2969313
Japan,Asia,417765,7015.0,387740.0,23010.0,644.0,3310,56.0,7647131.0,60580.0,126231537
